Em1_SG5 SRR22512606 E_mccoskeri
Em1_SG7 SRR22512605 E_mccoskeri
Em1_SGF2 SRR22514660 E_mccoskeri
Em1_Sk1 SRR22514659 E_mccoskeri
Em2_B1 SRR22514589 E_mccoskeri
Em2_B2 SRR22514578 E_mccoskeri
Em2_B3 SRR22514567 E_mccoskeri
Em2_B4 SRR22514620 E_mccoskeri
Em2_SG16 SRR22512604 E_mccoskeri
Em2_Sk2 SRR22514643 E_mccoskeri
Em2_Sk3 SRR22514632 E_mccoskeri
Em3_B1 SRR22514658 E_mccoskeri
Em3_B2 SRR22514652 E_mccoskeri
Em3_B3 SRR22514651 E_mccoskeri
Em3_B4 SRR22514650 E_mccoskeri
Em3_SG27 SRR22512602 E_mccoskeri
Em3_SG29 SRR22512601 E_mccoskeri
Em3_SGF2 SRR22514609 E_mccoskeri
Em3_Sk SRR22514598 E_mccoskeri
Em3_SK32 SRR22512603 E_mccoskeri
Em4_B1 SRR22514649 E_mccoskeri
Em4_B2 SRR22514648 E_mccoskeri
Em4_B3 SRR22514647 E_mccoskeri
Em4_B4 SRR22514646 E_mccoskeri
Em4_SG38 SRR22512600 E_mccoskeri
