Est1_15 SRR22512595 E_stoutii
Est1_16 SRR22512594 E_stoutii
Est1_17 SRR22512597 E_stoutii
Est1_19 SRR22512599 E_stoutii
Est1_20 SRR22512598 E_stoutii
Est2_28 SRR22512575 E_stoutii
Est2_29 SRR22512574 E_stoutii
Est2_30 SRR22512572 E_stoutii
Est2_31 SRR22512571 E_stoutii
Est2_33 SRR22512570 E_stoutii
Est2_34 SRR22512569 E_stoutii
Est2_37 SRR22512593 E_stoutii
Est2_38 SRR22512592 E_stoutii
Est2_39 SRR22512591 E_stoutii
Est2_40 SRR22512590 E_stoutii
Est2_41 SRR22512589 E_stoutii
Est2_42 SRR22512588 E_stoutii
Est4_A18 SRR22512568 E_stoutii
Est4_A22 SRR22512566 E_stoutii
Est4_A24 SRR22512565 E_stoutii
Est4_A25 SRR22512564 E_stoutii
Est4_A27 SRR22512563 E_stoutii
Est4_A28 SRR22512561 E_stoutii
Est4_A30 SRR22512567 E_stoutii
Est5_A45 SRR22512560 E_stoutii
Est5_A46 SRR22512559 E_stoutii
Est6_A56 SRR22512556 E_stoutii
Est6_A61 SRR22512558 E_stoutii
Est6_A62 SRR22512557 E_stoutii
