Esp3_B1 SRR22514592 E_goslinei
Esp3_B3 SRR22514591 E_goslinei
Esp3_B4 SRR22514590 E_goslinei
Esp3_SGF1 SRR22514630 E_goslinei
Esp3_SGF2 SRR22514629 E_goslinei
Esp3_SGF3 SRR22514628 E_goslinei
Esp3_Sk1 SRR22514627 E_goslinei
Esp3_Sk2 SRR22514626 E_goslinei
Esp3_Sk3 SRR22514625 E_goslinei
Esp4_B1 SRR22514582 E_goslinei
Esp4_B3 SRR22514581 E_goslinei
Esp4_B4 SRR22514580 E_goslinei
Esp4_SGF1 SRR22514588 E_goslinei
Esp4_SGF2 SRR22514587 E_goslinei
Esp4_SGF3 SRR22514586 E_goslinei
Esp4_Sk1 SRR22514585 E_goslinei
Esp4_Sk2 SRR22514584 E_goslinei
Esp4_Sk3 SRR22514583 E_goslinei
Esp5_B2 SRR22514574 E_goslinei
Esp5_SGF3 SRR22514579 E_goslinei
Esp5_Sk1 SRR22514577 E_goslinei
Esp5_Sk2 SRR22514576 E_goslinei
Esp5_Sk3 SRR22514575 E_goslinei
Esp6_B4 SRR22514570 E_goslinei
Esp6_Sk1 SRR22514573 E_goslinei
Esp6_Sk2 SRR22514572 E_goslinei
Esp6_Sk3 SRR22514571 E_goslinei
